Method,mean_accuracy,mean_macro_auc,mean_macro_f1,rows,mean_n_train_subjects,mean_n_test_subjects
T1_ONLY,0.6658590921748817,0.7285002626434851,0.6266746758383346,9,129.66666666666666,24.666666666666668
FA_GT,0.6964355332776386,0.6638723122099082,0.6038654830295026,9,129.66666666666666,24.666666666666668
FidelityFlow,0.7050125313283208,0.6814987040050978,0.6361982140614261,9,129.66666666666666,24.666666666666668
PRIVATE_DS_HYBRID,0.690197716513506,0.6493080851137116,0.6042186581112754,9,129.66666666666666,24.666666666666668
UNet,0.6729601782233361,0.7072442239961422,0.6229355338067095,9,129.66666666666666,24.666666666666668
Pix2Pix,0.6483152325257588,0.7096708775736909,0.6049297479334265,9,129.66666666666666,24.666666666666668
CycleGAN,0.6992202729044834,0.686382150576524,0.6508647624797752,9,129.66666666666666,24.666666666666668
