method,rows,mean_accuracy,mean_macro_auc,mean_macro_f1,mean_n_train_subjects,mean_n_test_subjects
ADNI_A080_DS_FULL,9,0.7099795245343191,0.7226012058570199,0.5930867893828313,211.55555555555554,52.0
ADNI_OLD_FIDELITY_FLOW,9,0.6775703051387983,0.7133161068044789,0.5725784724532805,211.55555555555554,52.0
T1_ONLY,9,0.6897867289990578,0.7090439276485788,0.5815397865951036,211.55555555555554,52.0
ADNI_A080_BASE,9,0.7364300210190621,0.7016020671834625,0.6003679277026374,211.55555555555554,52.0
ADNI_PIX2PIX,9,0.7120334130608104,0.6892334194659776,0.5988889744893249,211.55555555555554,52.0
ADNI_UNET,9,0.6071981227803146,0.688458225667528,0.5133668339688089,211.55555555555554,52.0
FA_GT,9,0.7240622961513372,0.6757278208441,0.5726649391461949,211.55555555555554,52.0
ADNI_CYCLEGAN,9,0.6899914836558672,0.6726442721791559,0.5663804400213571,211.55555555555554,52.0
ADNI_LIGHTGUARD_PRIOR_FLOW,9,0.5958895049648475,0.6533161068044789,0.4262946690070918,211.55555555555554,52.0
