method,classifier,max_features,rows,mean_accuracy,mean_balanced_accuracy,mean_macro_auc,mean_macro_f1
FA_GT,rbf_svm,20,3,0.7398184387910415,0.6580103359173127,0.7466666666666667,0.6229769721047073
Old Fidelity Flow,rbf_svm,20,3,0.718974233529028,0.6080103359173127,0.7066666666666667,0.5882244054753727
A080+DS Full,rbf_svm,20,3,0.7542889758643184,0.5502583979328165,0.6848062015503876,0.5470078098161589
A080 Base,rbf_svm,20,3,0.7822678843226788,0.591860465116279,0.6796382428940569,0.597194055631857
T1_PLUS_FA_GT,rbf_svm,40,3,0.7356327462491846,0.5596899224806201,0.6706459948320412,0.5569462916080308
T1_PLUS_A080_DS,rbf_svm,40,3,0.7407914764079148,0.5958656330749355,0.6659948320413437,0.5866285844588641
T1_PLUS_A080_BASE,rbf_svm,40,3,0.766392150467493,0.5886304909560723,0.6610335917312661,0.5698520616380524
T1_PLUS_OLD_FLOW,rbf_svm,40,3,0.7568683409436834,0.6058139534883721,0.6463565891472868,0.6016313552812189
T1_ONLY,rbf_svm,40,3,0.7473445314198739,0.5724806201550388,0.6205167958656331,0.5622146249602051
