dataset,protocol,method,rows,mean_accuracy,mean_balanced_accuracy,mean_macro_auc,mean_macro_f1,mean_n_train_subjects,mean_n_test_subjects
ADNI,coarse_grid_roi_train_test,Old Fidelity Flow,6,0.710518590998043,0.6006459948320414,0.6650645994832042,0.5767248432793141,181.33333333333334,52.0
ADNI,coarse_grid_roi_train_test,A080 Base,6,0.7427728854098717,0.5864341085271317,0.6630490956072351,0.5746299047956462,181.33333333333334,52.0
ADNI,coarse_grid_roi_train_test,FA_GT,6,0.7372186888454012,0.5750000000000001,0.6580103359173126,0.5715741298515158,181.33333333333334,52.0
ADNI,coarse_grid_roi_train_test,A080+DS Full,6,0.7259934224831485,0.5786821705426356,0.6497157622739018,0.5594785855384037,181.33333333333334,52.0
ADNI,coarse_grid_roi_train_test,T1_ONLY,6,0.7326524787997392,0.6161498708010336,0.6227131782945737,0.6021199223588032,181.33333333333334,52.0
