method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,SharpRatio,WM_Hist_W,multi_task_mil_F1_mean,multi_task_mil_AUC_mean,slice_svm_vote_F1_mean,testcv_F1_mean_3tasks,composite_score,n_slices,n_subjects
FA_GT,inf,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.582244439527886,0.7127648578811371,0.5206981050765734,0.6066742353128779,,5616,108
A080+DS Full (Ours),28.815641472559616,0.9141944313151205,0.0014225380805082154,0.01656091341772382,0.054545685111948336,0.8422826313773586,1.022621054007444,0.032774956522531346,0.5936381229050736,0.7466149870801034,0.629584017515052,0.5149058477379449,0.920924619732115,5616,108
Old Fidelity Flow,28.091504528286777,0.90531276990036,0.0016655306983705972,0.01768633763548292,0.05696506212807746,0.8670418903548784,0.8891652897772035,0.029485782411793893,0.6338776344285022,0.7320413436692507,0.6168499432100851,0.5057454047870588,0.8714488696360165,5616,108
Pix2Pix,28.01128692661972,0.9013884010117108,0.0016903714791038625,0.017702385909063343,0.0605884088585392,0.826972968838031,0.9126471253894813,0.036296666763985574,,,,0.5167320632080994,0.7829359553000566,5616,108
A080 Base,28.371389854491593,0.9085649417294057,0.00157690695386737,0.017435576964651985,0.0613451685671538,0.767734461395152,0.9961197227654541,0.04289322271085732,0.5560035842293907,0.7093023255813954,0.6581095387933494,0.47753498276774553,0.7396724140319787,5616,108
U-Net,28.4444048820755,0.9073398449800463,0.0015385588902275794,0.017043016261409204,0.0584098915848085,0.812192962320848,0.5185544939955045,0.03697923713687415,,,,0.49312168923667504,0.696387250050315,5616,108
CycleGAN,26.256411082260605,0.8705280325839831,0.002522217882957981,0.0220294568786846,0.0784097185552099,0.6906869032717452,0.8769016944722902,0.05319611551727638,,,,0.4528525231141635,0.3802112584578637,5616,108
DDIM,25.78309564791092,0.861652454918521,0.0028004400831603436,0.023572437788400947,0.08796115844322108,0.5803403636988274,0.5693742474319948,0.0718894537668967,,,,0.5115504899076203,0.17380936189942564,5616,108
DBM,25.880053421220467,0.8765405743167951,0.0027774782981766664,0.023218406571779784,0.09284002647836005,0.5057083290804734,0.4888594477613103,0.0823996454932358,,,,0.5270021478816689,0.14889798064590726,5616,108
