dataset,result_family,protocol,method,task,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,accuracy,macro_auc,macro_f1,macro_f1_std,source_file,fairness_note
ADNI,latest_full_train_test_MIL,attention_mil,T1_ONLY,cn_vs_mci_spectrum,255,73,12750,3650,0.5205479452054794,0.6333333333333333,0.5172869828074815,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_A080_DS_FULL,cn_vs_mci_spectrum,272,73,13600,3900,0.6712328767123288,0.7,0.6275510204081632,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,272,73,13600,3900,0.6438356164383562,0.7069767441860465,0.6045833333333333,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,FA_GT,cn_vs_mci_spectrum,272,73,13600,3900,0.6301369863013698,0.7162790697674419,0.600121728545344,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_A080_BASE,cn_vs_mci_spectrum,272,73,13600,3900,0.6164383561643836,0.6852713178294574,0.60752688172043,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,T1_ONLY,cn_vs_mci_spectrum,272,73,13600,3900,0.4931506849315068,0.6395348837209301,0.4927699530516432,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,FA_GT,cn_vs_mci_spectrum,255,73,12750,3650,0.6438356164383562,0.6170542635658915,0.6234126984126984,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_A080_BASE,cn_vs_mci_spectrum,255,73,12750,3650,0.6164383561643836,0.6844961240310078,0.5995297805642633,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,255,73,12750,3650,0.6027397260273972,0.6511627906976744,0.5826926867731126,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_A080_DS_FULL,cn_vs_mci_spectrum,255,73,12750,3650,0.589041095890411,0.6689922480620156,0.5654761904761905,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
