method,classifier,max_features,rows,mean_accuracy,mean_balanced_accuracy,mean_macro_auc,mean_macro_f1
FA_GT,logistic,20,3,0.7519216133942161,0.7031007751937984,0.7244444444444446,0.6481274936609461
T1_PLUS_A080_BASE,logistic,40,3,0.6937649489019352,0.6037467700258398,0.7037726098191214,0.5653966847744959
A080 Base,linear_svm,20,3,0.7802810393563818,0.6191214470284238,0.7000516795865633,0.6268725953156825
T1_PLUS_FA_GT,linear_svm,0,3,0.6971162209175907,0.5492248062015505,0.6955555555555556,0.5435673854405164
T1_PLUS_A080_DS,logistic,20,3,0.6679740160904544,0.5803617571059432,0.6848062015503876,0.5455363906703766
Old Fidelity Flow,logistic,20,3,0.7052756033920419,0.5930232558139535,0.6834625322997416,0.5728923018079645
T1_PLUS_OLD_FLOW,logistic,40,3,0.7167862578821483,0.6125322997416021,0.6749870801033592,0.5875564830057386
A080+DS Full,logistic,20,3,0.7449662970210915,0.5514211886304909,0.6734883720930233,0.539703076454045
T1_ONLY,logistic,20,3,0.6332517938682322,0.5887596899224806,0.6466149870801033,0.5386771680216803
