method,task,protocol,classifier,feature_set,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,n_features,n_selected_features,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,epochs,seed,shared_roi_top_k
ADNI_A080_BASE,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.6164383561643836,0.5988372093023255,0.5995297805642633,0.6844961240310078,,,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.6027397260273972,0.5821705426356589,0.5826926867731126,0.6511627906976744,,,0
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.589041095890411,0.5655038759689923,0.5654761904761905,0.6689922480620156,,,0
T1_ONLY,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.5616438356164384,0.5573643410852713,0.5548780487804879,0.6387596899224807,,,0
ADNI_A080_BASE,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.8857142857142857,0.6,0.6354166666666666,0.5466666666666667,80.0,2026.0,0
FA_GT,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.8571428571428571,0.6666666666666667,0.6812386156648451,0.5866666666666667,80.0,2026.0,0
T1_ONLY,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.6857142857142857,0.4833333333333334,0.48043184885290147,0.6533333333333333,80.0,2026.0,0
ADNI_A080_DS_FULL,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.6,0.6,0.51,0.5533333333333333,80.0,2026.0,0
ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.14285714285714285,0.5,0.125,0.54,80.0,2026.0,0
FA_GT,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,35,13600,3900,159,159,0.8285714285714286,0.48333333333333334,0.453125,0.6266666666666667,80.0,2026.0,0
ADNI_A080_DS_FULL,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,35,13600,3900,159,159,0.8,0.55,0.5537340619307832,0.6933333333333334,80.0,2026.0,0
ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,35,13600,3900,159,159,0.8,0.55,0.5537340619307832,0.6333333333333333,80.0,2026.0,0
ADNI_A080_BASE,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,35,13600,3900,159,159,0.7714285714285715,0.45,0.43548387096774194,0.6333333333333334,80.0,2026.0,0
T1_ONLY,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,35,13600,3900,159,159,0.6857142857142857,0.6499999999999999,0.5726970033296338,0.7066666666666667,80.0,2026.0,0
ADNI_A080_BASE,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,122,35,6100,1750,159,159,0.8571428571428571,0.75,0.7303543913713405,0.7266666666666667,,,0
ADNI_A080_DS_FULL,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,122,35,6100,1750,159,159,0.8285714285714286,0.7333333333333334,0.6982758620689655,0.7466666666666667,,,0
ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,122,35,6100,1750,159,159,0.7714285714285715,0.7,0.6428571428571428,0.7333333333333334,,,0
T1_ONLY,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,122,35,6100,1750,159,159,0.6571428571428571,0.55,0.5138888888888888,0.64,,,0
FA_GT,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,122,35,6100,1750,159,159,0.5714285714285714,0.41666666666666663,0.41731409544950054,0.7,,,0
