Method,Accuracy,Macro_AUC,Macro_F1,Rows,mean_n_train_subjects,mean_n_test_subjects
UNet,0.6579520697167757,0.7244329104190697,0.591774235678754,9,134.55555555555554,25.33333333333333
FA_GT,0.6556178026766263,0.7046328335255672,0.5907630463115175,9,134.55555555555554,25.33333333333333
Pix2Pix,0.6229380641145347,0.6997308727412533,0.52963774502753,9,134.55555555555554,25.33333333333333
Stage1_LPIPS_GAN,0.6335200746965453,0.6950211457131873,0.5620623269121601,9,134.55555555555554,25.33333333333333
T1_ONLY,0.6342981637099284,0.6895424836601307,0.5760723891357861,9,134.55555555555554,25.33333333333333
FidelityFlow,0.6730469965764083,0.6861783929257977,0.5992299587145713,9,134.55555555555554,25.33333333333333
CycleGAN,0.6322751322751323,0.6650326797385621,0.5597156002160746,9,134.55555555555554,25.33333333333333
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,0.6106442577030813,0.5974625144175317,0.5329444276121139,9,134.55555555555554,25.33333333333333
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,0.6330532212885154,0.5913110342176086,0.5423781413650833,9,134.55555555555554,25.33333333333333
