dataset,Display_Method,Downstream_Method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,SharpRatio,Tenengrad_or_EdgeGrad,Accuracy,Macro_AUC,Macro_F1,Rows,score_fidelity_25,score_medical_30,score_texture_20,score_downstream_25,primary_integrated_score,primary_rank_within_dataset
ADNI,A080+DS Full (Ours),ADNI_A080_DS_FULL,28.815641472559616,0.9141944313151203,0.0014225380805082,0.0165609134177238,0.0545456851119483,0.8422826313773586,1.022621054007444,0.1141140857768481,0.7099795245343191,0.7226012058570199,0.5930867893828313,9,1.0,0.9812891807602752,0.977378945992556,0.940353903655036,0.9749510193403528,1.0
ADNI,A080 Base,ADNI_A080_BASE,28.371389854491596,0.9085649417294056,0.0015769069538673,0.0174355769646519,0.0613451685671538,0.767734461395152,0.996119722765454,0.1173766927045379,0.7364300210190621,0.7016020671834625,0.6003679277026374,9,0.9799689572428074,0.9006155484594531,0.996119722765454,0.8347539462288177,0.923089334958833,2.0
ADNI,Old Fidelity Flow,ADNI_OLD_FIDELITY_FLOW,28.091504528286777,0.90531276990036,0.0016655306983705,0.0176863376354829,0.0569650621280774,0.8670418903548784,0.8891652897772035,0.1231605569398205,0.6775703051387983,0.7133161068044789,0.5725784724532805,9,0.9687699734659918,0.9913405214236488,0.8891652897772035,0.7993905651980364,0.9172753490485424,3.0
ADNI,Pix2Pix,ADNI_PIX2PIX,28.01128692661972,0.9013884010117108,0.0016903714791038,0.0177023859090633,0.0605884088585392,0.826972968838031,0.9126471253894812,0.1271896365707596,0.7120334130608104,0.6892334194659776,0.5988889744893249,9,0.9642477933125804,0.9480912882771324,0.9126471253894812,0.7089815632499096,0.8852641507016584,4.0
ADNI,CycleGAN,ADNI_CYCLEGAN,26.256411082260605,0.8705280325839831,0.0025222178829579,0.0220294568786846,0.0784097185552099,0.6906869032717452,0.8769016944722902,0.1496993691655157,0.6899914836558672,0.6726442721791559,0.5663804400213571,9,0.8769763489444161,0.781312189234625,0.8769016944722902,0.5127133308791667,0.7571964156207411,5.0
ADNI,U-Net,ADNI_UNET,28.4444048820755,0.9073398449800464,0.0015385588902275,0.0170430162614092,0.0584098915848085,0.812192962320848,0.5185544939955045,0.1182787073524058,0.6071981227803146,0.688458225667528,0.5133668339688089,9,0.9831995531813912,0.9447192787383344,0.5185544939955045,0.438803338304441,0.7426274052920593,6.0
ADNI,LightGuard PriorFlow,ADNI_LIGHTGUARD_PRIOR_FLOW,28.0664082155459,0.9022363276987674,0.0017179020684653,0.0182480633512047,0.0582451510171477,0.8194039108675244,1.1290620493997368,0.1208665149559683,0.5958895049648475,0.6533161068044789,0.4262946690070918,9,0.9640469846860508,0.950758307019416,0.8709379506002632,0.0469069820332042,0.7121535739056912,7.0
ADNI,DDIM,ADNI_DDIM,25.78309564791092,0.861652454918521,0.0028004400831603,0.0235724377884009,0.087961158443221,0.5803403636988274,0.5693742474319948,0.1547991841901465,0.7397976009277379,0.6468561584840655,0.5872485637660315,9,0.8515643879307473,0.6637355186515691,0.5693742474319948,0.4236808479172576,0.6318068140438708,8.0
ADNI,Diffusion Bridge,ADNI_DBM,25.880053421220467,0.8765405743167951,0.0027774782981766,0.0232184065717797,0.09284002647836,0.5057083290804734,0.4888594477613103,0.1408321944329399,0.6758452924548816,0.657433247200689,0.5582676505730334,9,0.8636929728948646,0.5898728109345261,0.4888594477613103,0.3713284827787537,0.5834890967510244,9.0
ADNI,MOTFM,ADNI_MOTFM,17.23231211588274,0.2377611030360147,0.0204457444265853,0.0875794167041332,0.1802714603602822,0.1392494691270263,2.183907817988258,0.268105795453077,0.7154544466188302,0.7100430663221361,0.6061870203836373,9,0.0,0.0,0.0,0.8749812983452288,0.2187453245863072,10.0
ADNI,Real FA,FA_GT,inf,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7240622961513372,0.6757278208441,0.5726649391461949,9,,,,,,
ADNI,T1 only,T1_ONLY,,,,,,,,,0.6897867289990578,0.7090439276485788,0.5815397865951036,9,,,,,,
Private,Private DS Hybrid (Main),PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,28.013569024809744,0.9022712035869296,0.0016660941834867,0.0175842711956877,0.052514680606362,0.8916083668476751,1.009939834917142,0.1182447808824087,0.6330532212885154,0.5913110342176086,0.5423781413650833,9,0.9490718333376928,1.0,0.990060165082858,0.11758848693320953,0.7646771130842972,1.0
Private,Private Fidelity Flow,FidelityFlow,27.581172183831697,0.8924929921721158,0.0018422495445395,0.0188956401899064,0.0592060479678605,0.8665068941764639,0.8691766028771836,0.1236525728435892,0.6730469965764083,0.6861783929257977,0.5992299587145713,9,0.6899379902845938,0.6351309572802901,0.8691766028771836,0.8419494584837544,0.7473464699516108,2.0
Private,Private Pix2Pix CurrentSplit,Pix2Pix,28.11355829940298,0.9035034809300774,0.0016406288084659,0.0178467226866632,0.0577846271034918,0.8714690061726429,0.6414842470094795,0.1139225900506502,0.6229380641145347,0.6997308727412533,0.52963774502753,9,0.9631733008810788,0.7100992762378505,0.6414842470094795,0.48734373452649915,0.7039558911251456,3.0
Private,Private U-Net CurrentSplit,UNet,28.236095667030074,0.8972939960266414,0.0016059434950033,0.0178338956764262,0.0574854416733509,0.8361084757039453,0.4561077564473385,0.1126025230006167,0.6579520697167757,0.7244329104190697,0.591774235678754,9,0.9176589246465352,0.4760891443001015,0.4561077564473385,0.9248373369336618,0.6946723599745473,4.0
Private,Private Stage1 LPIPS+GAN,Stage1_LPIPS_GAN,27.56198295798881,0.8913763092379821,0.0018501440895488,0.0189154647138754,0.0615930120627346,0.83447988974594,0.8822090463627594,0.1245389396089472,0.6335200746965453,0.6950211457131873,0.5620623269121601,9,0.6734237517498223,0.34666214764581316,0.8822090463627594,0.6182811010446619,0.6033666667649169,5.0
