source,method,classifier,max_features,accuracy,balanced_accuracy,macro_auc,macro_f1
rbf_selectk,FA_GT,rbf_svm,20,0.7398184387910415,0.6580103359173127,0.7466666666666667,0.6229769721047073
rbf_selectk,Old Fidelity Flow,rbf_svm,20,0.718974233529028,0.6080103359173127,0.7066666666666667,0.5882244054753727
fast_logistic_linear_selectk,T1_PLUS_A080_BASE,logistic,40,0.6937649489019352,0.6037467700258398,0.7037726098191214,0.5653966847744959
fast_logistic_linear_selectk,A080 Base,linear_svm,20,0.7802810393563818,0.6191214470284238,0.7000516795865633,0.6268725953156825
fast_logistic_linear_selectk,T1_PLUS_FA_GT,linear_svm,0,0.6971162209175907,0.5492248062015505,0.6955555555555556,0.5435673854405164
fast_logistic_linear_selectk,T1_PLUS_A080_DS,logistic,20,0.6679740160904544,0.5803617571059432,0.6848062015503876,0.5455363906703766
rbf_selectk,A080+DS Full,rbf_svm,20,0.7542889758643184,0.5502583979328165,0.6848062015503876,0.5470078098161589
fast_logistic_linear_selectk,T1_PLUS_OLD_FLOW,logistic,40,0.7167862578821483,0.6125322997416021,0.6749870801033592,0.5875564830057386
fast_logistic_linear_selectk,T1_ONLY,logistic,20,0.6332517938682322,0.5887596899224806,0.6466149870801033,0.5386771680216803
