source,method,classifier,max_features,accuracy,balanced_accuracy,macro_auc,macro_f1
baseline_all_features_logistic_linear,Old Fidelity Flow,mixed_baseline,0,0.710518590998043,0.6006459948320414,0.6650645994832042,0.5767248432793141
baseline_all_features_logistic_linear,A080 Base,mixed_baseline,0,0.7427728854098717,0.5864341085271317,0.6630490956072351,0.5746299047956462
baseline_all_features_logistic_linear,FA_GT,mixed_baseline,0,0.7372186888454012,0.5750000000000001,0.6580103359173126,0.5715741298515158
baseline_all_features_logistic_linear,A080+DS Full,mixed_baseline,0,0.7259934224831485,0.5786821705426356,0.6497157622739018,0.5594785855384037
baseline_all_features_logistic_linear,T1_ONLY,mixed_baseline,0,0.7326524787997392,0.6161498708010336,0.6227131782945737,0.6021199223588032
fast_logistic_linear_selectk,FA_GT,logistic,20,0.7519216133942161,0.7031007751937984,0.7244444444444446,0.6481274936609461
fast_logistic_linear_selectk,T1_PLUS_A080_BASE,logistic,40,0.6937649489019352,0.6037467700258398,0.7037726098191214,0.5653966847744959
fast_logistic_linear_selectk,A080 Base,linear_svm,20,0.7802810393563818,0.6191214470284238,0.7000516795865633,0.6268725953156825
fast_logistic_linear_selectk,T1_PLUS_FA_GT,linear_svm,0,0.6971162209175907,0.5492248062015505,0.6955555555555556,0.5435673854405164
fast_logistic_linear_selectk,T1_PLUS_A080_DS,logistic,20,0.6679740160904544,0.5803617571059432,0.6848062015503876,0.5455363906703766
fast_logistic_linear_selectk,Old Fidelity Flow,logistic,20,0.7052756033920419,0.5930232558139535,0.6834625322997416,0.5728923018079645
fast_logistic_linear_selectk,T1_PLUS_OLD_FLOW,logistic,40,0.7167862578821483,0.6125322997416021,0.6749870801033592,0.5875564830057386
fast_logistic_linear_selectk,A080+DS Full,logistic,20,0.7449662970210915,0.5514211886304909,0.6734883720930233,0.539703076454045
fast_logistic_linear_selectk,T1_ONLY,logistic,20,0.6332517938682322,0.5887596899224806,0.6466149870801033,0.5386771680216803
rbf_selectk,FA_GT,rbf_svm,20,0.7398184387910415,0.6580103359173127,0.7466666666666667,0.6229769721047073
rbf_selectk,Old Fidelity Flow,rbf_svm,20,0.718974233529028,0.6080103359173127,0.7066666666666667,0.5882244054753727
rbf_selectk,A080+DS Full,rbf_svm,20,0.7542889758643184,0.5502583979328165,0.6848062015503876,0.5470078098161589
rbf_selectk,A080 Base,rbf_svm,20,0.7822678843226788,0.591860465116279,0.6796382428940569,0.597194055631857
rbf_selectk,T1_PLUS_FA_GT,rbf_svm,40,0.7356327462491846,0.5596899224806201,0.6706459948320412,0.5569462916080308
rbf_selectk,T1_PLUS_A080_DS,rbf_svm,40,0.7407914764079148,0.5958656330749355,0.6659948320413437,0.5866285844588641
rbf_selectk,T1_PLUS_A080_BASE,rbf_svm,40,0.766392150467493,0.5886304909560723,0.6610335917312661,0.5698520616380524
rbf_selectk,T1_PLUS_OLD_FLOW,rbf_svm,40,0.7568683409436834,0.6058139534883721,0.6463565891472868,0.6016313552812189
rbf_selectk,T1_ONLY,rbf_svm,40,0.7473445314198739,0.5724806201550388,0.6205167958656331,0.5622146249602051
