method,protocol,task,class_label,f1,n_subject_rows
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,slice_svm_vote,mci_spectrum_vs_ad,0,0.8125,21
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,slice_svm_vote,mci_spectrum_vs_ad,1,0.4,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,attention_mil,cn_vs_ad,0,0.8387096774193549,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,attention_mil,cn_vs_ad,1,0.5454545454545454,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,attention_mil,cn_vs_mci_spectrum,0,0.43243243243243246,34
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,attention_mil,cn_vs_mci_spectrum,1,0.3225806451612903,34
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,attention_mil,mci_spectrum_vs_ad,0,0.7586206896551724,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,attention_mil,mci_spectrum_vs_ad,1,0.46153846153846156,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,multi_task_mil,cn_vs_ad,0,0.7333333333333333,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,multi_task_mil,cn_vs_ad,1,0.3333333333333333,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,multi_task_mil,cn_vs_mci_spectrum,0,0.0,34
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,multi_task_mil,cn_vs_mci_spectrum,1,0.6666666666666666,34
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,multi_task_mil,mci_spectrum_vs_ad,0,0.8125,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,multi_task_mil,mci_spectrum_vs_ad,1,0.4,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,slice_svm_vote,cn_vs_ad,0,0.8125,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,slice_svm_vote,cn_vs_ad,1,0.4,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,slice_svm_vote,cn_vs_mci_spectrum,0,0.5,34
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,slice_svm_vote,cn_vs_mci_spectrum,1,0.4375,34
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,slice_svm_vote,mci_spectrum_vs_ad,0,0.7741935483870968,21
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,slice_svm_vote,mci_spectrum_vs_ad,1,0.36363636363636365,21
Pix2Pix,attention_mil,cn_vs_ad,0,0.5,21
Pix2Pix,attention_mil,cn_vs_ad,1,0.3333333333333333,21
Pix2Pix,attention_mil,cn_vs_mci_spectrum,0,0.0,34
Pix2Pix,attention_mil,cn_vs_mci_spectrum,1,0.6666666666666666,34
Pix2Pix,attention_mil,mci_spectrum_vs_ad,0,0.8484848484848485,21
Pix2Pix,attention_mil,mci_spectrum_vs_ad,1,0.4444444444444444,21
Pix2Pix,multi_task_mil,cn_vs_ad,0,0.8125,21
Pix2Pix,multi_task_mil,cn_vs_ad,1,0.4,21
Pix2Pix,multi_task_mil,cn_vs_mci_spectrum,0,0.0,34
Pix2Pix,multi_task_mil,cn_vs_mci_spectrum,1,0.6666666666666666,34
Pix2Pix,multi_task_mil,mci_spectrum_vs_ad,0,0.7741935483870968,21
Pix2Pix,multi_task_mil,mci_spectrum_vs_ad,1,0.36363636363636365,21
Pix2Pix,slice_svm_vote,cn_vs_ad,0,0.875,21
Pix2Pix,slice_svm_vote,cn_vs_ad,1,0.6,21
Pix2Pix,slice_svm_vote,cn_vs_mci_spectrum,0,0.5161290322580645,34
Pix2Pix,slice_svm_vote,cn_vs_mci_spectrum,1,0.5945945945945946,34
Pix2Pix,slice_svm_vote,mci_spectrum_vs_ad,0,0.7741935483870968,21
Pix2Pix,slice_svm_vote,mci_spectrum_vs_ad,1,0.36363636363636365,21
Stage1_LPIPS_GAN,attention_mil,cn_vs_ad,0,0.7586206896551724,21
Stage1_LPIPS_GAN,attention_mil,cn_vs_ad,1,0.46153846153846156,21
Stage1_LPIPS_GAN,attention_mil,cn_vs_mci_spectrum,0,0.5,34
Stage1_LPIPS_GAN,attention_mil,cn_vs_mci_spectrum,1,0.5555555555555556,34
