method,task,classifier,feature,coefficient,abs_coefficient
A080 Base,cn_vs_ad,logistic,roi_r1_c1_wm_count_slice_std,0.8329704638569819,0.8329704638569819
A080 Base,cn_vs_ad,logistic,roi_r0_c0_wm_median_slice_std,0.8036813371009809,0.8036813371009809
A080 Base,cn_vs_ad,logistic,roi_r0_c1_brain_grad_mean_slice_std,-0.7898258613856003,0.7898258613856003
A080 Base,cn_vs_ad,logistic,roi_r1_c2_wm_count_slice_std,-0.7582005949667914,0.7582005949667914
A080 Base,cn_vs_ad,logistic,roi_r1_c0_brain_p90_slice_std,-0.6970519629810459,0.6970519629810459
A080 Base,cn_vs_ad,logistic,roi_r1_c2_wm_count_slice_mean,-0.651046227250845,0.651046227250845
A080 Base,cn_vs_ad,logistic,roi_r0_c0_wm_grad_mean_slice_std,-0.6415090021326142,0.6415090021326142
A080 Base,cn_vs_ad,logistic,roi_r0_c0_wm_local_var_slice_mean,-0.6399902348933414,0.6399902348933414
A080 Base,cn_vs_ad,logistic,roi_r1_c2_brain_median_slice_std,-0.556514820537954,0.556514820537954
A080 Base,cn_vs_ad,logistic,roi_r0_c1_brain_mean_slice_std,0.5310928375607731,0.5310928375607731
A080 Base,cn_vs_ad,logistic,roi_r1_c1_brain_median_slice_std,-0.5223332829397251,0.5223332829397251
A080 Base,cn_vs_ad,logistic,roi_r1_c0_brain_grad_mean_slice_std,0.5205126681980585,0.5205126681980585
A080 Base,cn_vs_ad,logistic,roi_r0_c0_wm_std_slice_mean,-0.5138854996616481,0.5138854996616481
A080 Base,cn_vs_ad,logistic,roi_r0_c0_brain_mean_slice_std,0.5061054010909939,0.5061054010909939
A080 Base,cn_vs_ad,logistic,roi_r0_c1_brain_std_slice_std,-0.5040259302301948,0.5040259302301948
A080 Base,cn_vs_ad,logistic,roi_r0_c1_wm_std_slice_std,0.5033351089287038,0.5033351089287038
A080 Base,cn_vs_ad,logistic,roi_r0_c1_wm_count_slice_std,-0.4817616992318516,0.4817616992318516
